x-axis,1,2
second,Volt,Volt
+0.0E+00,+2.0004413332790E+00,-1.5882881386206E+00
+156.3E-12,+2.1165217366070E+00,-1.9651725692675E+00
+312.5E-12,+2.2326021399349E+00,-2.3420569999144E+00
+468.8E-12,+2.3539589252323E+00,-2.4676851434633E+00
+625.0E-12,+2.4858684744686E+00,-2.7189414305612E+00
+781.3E-12,+2.6177780237049E+00,-2.8445695741102E+00
+937.5E-12,+2.7496875729412E+00,-2.8445695741102E+00
+1.0938E-09,+2.8815971221775E+00,-2.8445695741102E+00
+1.2500E-09,+3.0135066714138E+00,-2.7189414305612E+00
+1.4063E-09,+3.1454162206501E+00,-2.5933132870123E+00
+1.5625E-09,+3.2667730059475E+00,-2.3420569999144E+00
+1.7188E-09,+3.3828534092754E+00,-2.0908007128164E+00
+1.8750E-09,+3.4936574306339E+00,-1.8395444257185E+00
+2.0313E-09,+3.6044614519924E+00,-1.5882881386206E+00
+2.1875E-09,+3.7047127094120E+00,-1.2114037079737E+00
+2.3438E-09,+3.7996875848621E+00,-960.1474208757E-03
+2.5000E-09,+3.8893860783428E+00,-708.8911337778E-03
+2.6563E-09,+3.9738081898540E+00,-583.2629902288E-03
+2.8125E-09,+4.0582303013653E+00,-457.6348466799E-03
+2.9688E-09,+4.1373760309070E+00,-457.6348466799E-03
+3.1250E-09,+4.2112453784794E+00,-332.0067031309E-03
+3.2813E-09,+4.2851147260517E+00,-206.3785595819E-03
+3.4375E-09,+4.3537076916546E+00,-206.3785595819E-03
+3.5938E-09,+4.4170242752880E+00,-206.3785595819E-03
+3.7500E-09,+4.4803408589214E+00,-332.0067031309E-03
+3.9063E-09,+4.5436574425548E+00,-332.0067031309E-03
+4.0625E-09,+4.6016976442188E+00,-457.6348466799E-03
+4.2188E-09,+4.6597378458828E+00,-583.2629902288E-03
+4.3750E-09,+4.7177780475468E+00,-834.5192773268E-03
+4.5313E-09,+4.7705418672413E+00,-1.0857755644247E+00
+4.6875E-09,+4.8233056869358E+00,-1.3370318515226E+00
+4.8438E-09,+4.8707931246609E+00,-1.5882881386206E+00
+5.0000E-09,+4.9077277984470E+00,-1.8395444257185E+00
+5.1563E-09,+4.9446624722332E+00,-1.9651725692675E+00
+5.3125E-09,+4.9710443820804E+00,-2.0908007128164E+00
+5.4688E-09,+4.9921499099582E+00,-2.0908007128164E+00
+5.6250E-09,+4.9921499099582E+00,-2.0908007128164E+00
+5.7813E-09,+4.9815971460193E+00,-1.9651725692675E+00
+5.9375E-09,+4.9657680001110E+00,-1.8395444257185E+00
